"Notes"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	"Crude Rate"
	"< 1 year"	"1"	"1999"	"1999"	"Intestinal infectious diseases"	"A00-A09"	21	3795762	0.6
	"< 1 year"	"1"	"1999"	"1999"	"Tuberculosis"	"A16-A19"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other bacterial diseases"	"A30-A49"	344	3795762	9.1
	"< 1 year"	"1"	"1999"	"1999"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Viral infections of the central nervous system"	"A80-A89"	9	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	20	3795762	0.5
	"< 1 year"	"1"	"1999"	"1999"	"Viral hepatitis"	"B15-B19"	2	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	14	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other viral diseases"	"B25-B34"	89	3795762	2.3
	"< 1 year"	"1"	"1999"	"1999"	"Mycoses"	"B35-B49"	52	3795762	1.4
	"< 1 year"	"1"	"1999"	"1999"	"Protozoal diseases"	"B50-B64"	6	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Other infectious diseases"	"B99-B99"	1	3795762	0.0 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Malignant neoplasms"	"C00-C97"	68	3795762	1.8
	"< 1 year"	"1"	"1999"	"1999"	"Benign neoplasms"	"D10-D36"	14	3795762	0.4 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	44	3795762	1.2
	"< 1 year"	"1"	"1999"	"1999"	"Haemolytic anaemias"	"D55-D59"	8	3795762	0.2 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Aplastic and other anaemias"	"D60-D64"	4	3795762	0.1 (Unreliable)
	"< 1 year"	"1"	"1999"	"1999"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	43	3795762	1.1
	"< 1 year"	"1"	"1999"	"1999"	"Other diseases of blood and blood-forming organs"	"D70-D76"	21	3795762	0.6
